INFO  - 2014-11-30 14:13:03.386; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={mm=66%25&df=content&qs=2&ps=3&hl=true&indent=&fl=*,score&hl.usePhraseHighlighter=true&sort=sum(div(sum(1,clicks),+10),+query({!dismax+fl%3D'*,score'+df%3D'content'+qf%3D'content^20+title^15+author^30+place^30+date^30'+mm%3D'66%25'+pf%3D'content^50'+ps%3D3+qs%3D2+tie%3D1+v%3D'india+trade'},+0.01))+desc&hl.simple.pre=<span+class%3D'highlight'>&hl.snippets=10&tie=1&q=india+trade&defType=dismax&hl.simple.post=</span>&qf=content^20+title^15+author^30+place^30+date^30&pf=content^50&wt=json&hl.highlightMultiTerm=true} hits=971 status=0 QTime=12 
INFO  - 2014-11-30 14:13:12.032; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={mm=66%25&df=content&qs=2&ps=3&hl=true&indent=&fl=*,score&hl.usePhraseHighlighter=true&sort=sum(div(sum(1,clicks),+10),+query({!dismax+fl%3D'*,score'+df%3D'content'+qf%3D'content^20+title^15+author^30+place^30+date^30'+mm%3D'66%25'+pf%3D'content^50'+ps%3D3+qs%3D2+tie%3D1+v%3D'india'},+0.01))+desc&hl.simple.pre=<span+class%3D'highlight'>&hl.snippets=10&tie=1&q=india&defType=dismax&hl.simple.post=</span>&qf=content^20+title^15+author^30+place^30+date^30&pf=content^50&wt=json&hl.highlightMultiTerm=true} hits=57 status=0 QTime=14 
INFO  - 2014-11-30 14:13:20.167; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={mm=66%25&df=content&qs=2&ps=3&hl=true&indent=&fl=*,score&hl.usePhraseHighlighter=true&sort=sum(div(sum(1,clicks),+10),+query({!dismax+fl%3D'*,score'+df%3D'content'+qf%3D'content^20+title^15+author^30+place^30+date^30'+mm%3D'66%25'+pf%3D'content^50'+ps%3D3+qs%3D2+tie%3D1+v%3D'indi'},+0.01))+desc&hl.simple.pre=<span+class%3D'highlight'>&hl.snippets=10&tie=1&q=indi&defType=dismax&hl.simple.post=</span>&qf=content^20+title^15+author^30+place^30+date^30&pf=content^50&wt=json&hl.highlightMultiTerm=true} hits=0 status=0 QTime=7 
INFO  - 2014-11-30 14:13:20.312; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={mm=66%25&df=content&qs=2&ps=3&hl=true&indent=&fl=*,score&hl.usePhraseHighlighter=true&sort=sum(div(sum(1,clicks),+10),+query({!dismax+fl%3D'*,score'+df%3D'content'+qf%3D'content^20+title^15+author^30+place^30+date^30'+mm%3D'66%25'+pf%3D'content^50'+ps%3D3+qs%3D2+tie%3D1+v%3D'india'},+0.01))+desc&hl.simple.pre=<span+class%3D'highlight'>&hl.snippets=10&tie=1&q=india&defType=dismax&hl.simple.post=</span>&qf=content^20+title^15+author^30+place^30+date^30&pf=content^50&wt=json&hl.highlightMultiTerm=true} hits=57 status=0 QTime=9 
INFO  - 2014-11-30 14:13:22.306; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={mm=66%25&df=content&qs=2&ps=3&hl=true&indent=&fl=*,score&hl.usePhraseHighlighter=true&sort=sum(div(sum(1,clicks),+10),+query({!dismax+fl%3D'*,score'+df%3D'content'+qf%3D'content^20+title^15+author^30+place^30+date^30'+mm%3D'66%25'+pf%3D'content^50'+ps%3D3+qs%3D2+tie%3D1+v%3D'india+'},+0.01))+desc&hl.simple.pre=<span+class%3D'highlight'>&hl.snippets=10&tie=1&q=india+&defType=dismax&hl.simple.post=</span>&qf=content^20+title^15+author^30+place^30+date^30&pf=content^50&wt=json&hl.highlightMultiTerm=true} hits=57 status=0 QTime=9 
INFO  - 2014-11-30 14:13:23.115; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={mm=66%25&df=content&qs=2&ps=3&hl=true&indent=&fl=*,score&hl.usePhraseHighlighter=true&sort=sum(div(sum(1,clicks),+10),+query({!dismax+fl%3D'*,score'+df%3D'content'+qf%3D'content^20+title^15+author^30+place^30+date^30'+mm%3D'66%25'+pf%3D'content^50'+ps%3D3+qs%3D2+tie%3D1+v%3D'india+t'},+0.01))+desc&hl.simple.pre=<span+class%3D'highlight'>&hl.snippets=10&tie=1&q=india+t&defType=dismax&hl.simple.post=</span>&qf=content^20+title^15+author^30+place^30+date^30&pf=content^50&wt=json&hl.highlightMultiTerm=true} hits=208 status=0 QTime=31 
INFO  - 2014-11-30 14:13:23.913; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={mm=66%25&df=content&qs=2&ps=3&hl=true&indent=&fl=*,score&hl.usePhraseHighlighter=true&sort=sum(div(sum(1,clicks),+10),+query({!dismax+fl%3D'*,score'+df%3D'content'+qf%3D'content^20+title^15+author^30+place^30+date^30'+mm%3D'66%25'+pf%3D'content^50'+ps%3D3+qs%3D2+tie%3D1+v%3D'india+tr'},+0.01))+desc&hl.simple.pre=<span+class%3D'highlight'>&hl.snippets=10&tie=1&q=india+tr&defType=dismax&hl.simple.post=</span>&qf=content^20+title^15+author^30+place^30+date^30&pf=content^50&wt=json&hl.highlightMultiTerm=true} hits=57 status=0 QTime=12 
INFO  - 2014-11-30 14:13:24.790; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={mm=66%25&df=content&qs=2&ps=3&hl=true&indent=&fl=*,score&hl.usePhraseHighlighter=true&sort=sum(div(sum(1,clicks),+10),+query({!dismax+fl%3D'*,score'+df%3D'content'+qf%3D'content^20+title^15+author^30+place^30+date^30'+mm%3D'66%25'+pf%3D'content^50'+ps%3D3+qs%3D2+tie%3D1+v%3D'india+tra'},+0.01))+desc&hl.simple.pre=<span+class%3D'highlight'>&hl.snippets=10&tie=1&q=india+tra&defType=dismax&hl.simple.post=</span>&qf=content^20+title^15+author^30+place^30+date^30&pf=content^50&wt=json&hl.highlightMultiTerm=true} hits=57 status=0 QTime=10 
INFO  - 2014-11-30 14:13:24.907; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={mm=66%25&df=content&qs=2&ps=3&hl=true&indent=&fl=*,score&hl.usePhraseHighlighter=true&sort=sum(div(sum(1,clicks),+10),+query({!dismax+fl%3D'*,score'+df%3D'content'+qf%3D'content^20+title^15+author^30+place^30+date^30'+mm%3D'66%25'+pf%3D'content^50'+ps%3D3+qs%3D2+tie%3D1+v%3D'india+trad'},+0.01))+desc&hl.simple.pre=<span+class%3D'highlight'>&hl.snippets=10&tie=1&q=india+trad&defType=dismax&hl.simple.post=</span>&qf=content^20+title^15+author^30+place^30+date^30&pf=content^50&wt=json&hl.highlightMultiTerm=true} hits=57 status=0 QTime=16 
INFO  - 2014-11-30 14:13:38.799; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={mm=66%25&df=content&qs=2&ps=3&hl=true&indent=&fl=*,score&hl.usePhraseHighlighter=true&sort=sum(div(sum(1,clicks),+10),+query({!dismax+fl%3D'*,score'+df%3D'content'+qf%3D'content^20+title^15+author^30+place^30+date^30'+mm%3D'66%25'+pf%3D'content^50'+ps%3D3+qs%3D2+tie%3D1+v%3D'india+trad'},+0.01))+desc&hl.simple.pre=<span+class%3D'highlight'>&hl.snippets=10&tie=1&q=india+trad&defType=dismax&hl.simple.post=</span>&qf=content^20+title^15+author^30+place^30+date^30&pf=content^50&wt=json&hl.highlightMultiTerm=true} hits=57 status=0 QTime=23 
INFO  - 2014-11-30 14:13:39.893; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={mm=66%25&df=content&qs=2&ps=3&hl=true&indent=&fl=*,score&hl.usePhraseHighlighter=true&sort=sum(div(sum(1,clicks),+10),+query({!dismax+fl%3D'*,score'+df%3D'content'+qf%3D'content^20+title^15+author^30+place^30+date^30'+mm%3D'66%25'+pf%3D'content^50'+ps%3D3+qs%3D2+tie%3D1+v%3D'india+trad'},+0.01))+desc&hl.simple.pre=<span+class%3D'highlight'>&hl.snippets=10&tie=1&q=india+trad&defType=dismax&hl.simple.post=</span>&qf=content^20+title^15+author^30+place^30+date^30&pf=content^50&wt=json&hl.highlightMultiTerm=true} hits=57 status=0 QTime=41 
